Calvin #,Color,Current Mileage,Date_of_Service,Dept_t1,Dept_t3,Driver,Driver_x,Driver_y,KBB Value,Last LOF,Last Service,Make,Make_t1,Make_t3,Mileage,Model,Model_t1,Model_t3,Notes,Overall condition,Service?,Tire Condition IN 32nds,Title,Unnamed: 10,Unnamed: 9,VIN,Veh #,Vehicle,Vehicle  #,Vehicle #,Vehicle #_t5,Vehicle Year,Year_t1,Year_t3
NULL,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,NULL,NULL,NULL,10.0,2006,NULL,NULL
NULL,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,NULL,Golf Carts,NULL,NULL,10.0,2006,NULL,NULL
NULL,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,BS/Advancement,OO7,NULL,NULL,10.0,2006,NULL,NULL
NULL,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,BS,Fac #4,NULL,NULL,10.0,2006,NULL,NULL
NULL,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,BS,Fac #8,NULL,NULL,10.0,2006,NULL,NULL
NULL,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,BIG,NULL,NULL,NULL,TEX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16VCX162362D14222,BS/Custodial/Emily,Fac #9,NULL,NULL,10.0,2006,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,NULL,NULL,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,NULL,Golf Carts,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS/Advancement,OO7,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS,Fac #4,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS,Fac #8,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS/Custodial/Emily,Fac #9,NULL,NULL,71.0,2010,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,NULL,NULL,NULL,NULL,NULL,2010,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,NULL,Golf Carts,NULL,NULL,NULL,2010,NULL,NULL
Plaster Creek,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS/Advancement,OO7,NULL,NULL,NULL,2010,NULL,NULL
Plaster Creek,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS,Fac #4,NULL,NULL,NULL,2010,NULL,NULL
Plaster Creek,NULL,NULL,NULL,none,none,none,none,none,NULL,NULL,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS,Fac #8,NULL,NULL,NULL,2010,NULL,NULL
Plaster Creek,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,DODGE,NULL,NULL,NULL,DAKOTA,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,1D7RW3GK6AS164508,BS/Custodial/Emily,Fac #9,NULL,NULL,NULL,2010,NULL,NULL
GROUNDS,NULL,31317,NULL,grounds,grounds,back row,back row,grounds,Not Listed,30329,6/14/2023,FORD,Ford,Ford,44484.0,F600,f-600 Dump,f-600 Dump,NULL,Average,Yes,F-11 R-8,Y,NULL,NULL,1FDNF60H6JVA30777,17,2007 Ford Econoline Box,30,30,22.0,1988,1988.0,1988.0
GROUNDS,NULL,61088,NULL,grounds,grounds,back row,back row,grounds,Not Listed,60534,6/14/2023,FORD,Ford,Ford,44484.0,F600,f-600 Dump,f-600 Dump,NULL,Below Average,Yes,F-4 R-10,Y,NULL,NULL,1FDNF60H6JVA30777,19,2002 Ford Econoline Box,30,30,22.0,1988,1988.0,1988.0
BOX,NULL,31317,NULL,facilities,none,back row,back row,grounds,Not Listed,30329,6/14/2023,FORD,Ford,Ford,44484.0,ECONOL,Econoline Box,f-600 Dump,NULL,Average,Yes,F-11 R-8,Y,NULL,NULL,1FDWE35L47DA26972,17,2007 Ford Econoline Box,30,16,36.0,2007,2007.0,1988.0
BOX,NULL,61088,NULL,facilities,none,back row,back row,grounds,Not Listed,60534,6/14/2023,FORD,Ford,Ford,44484.0,ECONOL,Econoline Box,f-600 Dump,NULL,Below Average,Yes,F-4 R-10,Y,NULL,NULL,1FDWE35L47DA26972,19,2002 Ford Econoline Box,30,16,36.0,2007,2007.0,1988.0
BOX,NULL,31317,NULL,facilities,facilities,back row,back row,grounds,Not Listed,30329,6/13/2023,FORD,Ford,Ford,60534.0,ECONOL,Econoline Box,Econoline Box,NULL,Average,Yes,F-11 R-8,Y,NULL,NULL,1FDWE35L52HB44451,17,2007 Ford Econoline Box,19,19,38.0,2002,1988.0,0.0
BOX,NULL,61088,NULL,facilities,facilities,back row,back row,grounds,Not Listed,60534,6/13/2023,FORD,Ford,Ford,60534.0,ECONOL,Econoline Box,Econoline Box,NULL,Below Average,Yes,F-4 R-10,Y,NULL,NULL,1FDWE35L52HB44451,19,2002 Ford Econoline Box,19,19,38.0,2002,1988.0,0.0
CD BOX,NULL,59584,NULL,c-dining,c-dining,amanda harper,back row,grounds,"$8,787.00 ",59510,2/1/2023,FORD,Ford,Ford,1903.0,ECONOL,Econoline Box,Econoline Box,NULL,Average,Yes,F-11 R-13,Y,NULL,NULL,1FDWE4F68KDC06513,33,2007 Chevy Silverado ,15,15,16.0,2019,2019.0,2019.0
GROUNDS,NULL,31317,NULL,grounds,grounds,back row,back row,grounds,Not Listed,30329,6/14/2023,FORD,Ford,Ford,261513.0,F800,F-800,F-800,NULL,Average,Yes,F-11 R-8,Y,NULL,NULL,1FDXK84A6JVA00269,17,2007 Ford Econoline Box,31,31,23.0,1988,1988.0,1988.0
GROUNDS,NULL,61088,NULL,grounds,grounds,back row,back row,grounds,Not Listed,60534,6/14/2023,FORD,Ford,Ford,261513.0,F800,F-800,F-800,NULL,Below Average,Yes,F-4 R-10,Y,NULL,NULL,1FDXK84A6JVA00269,19,2002 Ford Econoline Box,31,31,23.0,1988,1988.0,1988.0
CS #4,NULL,42616,NULL,camp saf,camp saf,none,back row,grounds,"$14,055.00 ",41811,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-11 R-12,Y,NULL,NULL,1FMCU0F71FUA60257,37,2013 Chevy Silverado,#4,#4,57.0,2015,2015.0,2015.0
CS #4,NULL,NULL,NULL,camp saf,camp saf,none,back row,none,NULL,NULL,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,NULL,Yes,NULL,Y,NULL,NULL,1FMCU0F71FUA60257,NULL,Golf Carts,#4,#4,57.0,2015,2015.0,2015.0
CS #4,NULL,White,NULL,camp saf,camp saf,none,back row,none,NULL,8323,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,NULL,Yes,NULL,Y,NULL,NULL,1FMCU0F71FUA60257,BS/Advancement,OO7,#4,#4,57.0,2015,2015.0,2015.0
CS #4,NULL,Green EZ/Go,NULL,camp saf,camp saf,none,amanda harper,none,NULL,6377,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,NULL,Yes,NULL,Y,NULL,NULL,1FMCU0F71FUA60257,BS,Fac #4,#4,#4,57.0,2015,2015.0,2015.0
CS #4,NULL,104850,NULL,camp saf,camp saf,none,back row,grounds,"$9,479.00 ",102911,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,Above Average,Yes,F-11 R-11,Y,NULL,NULL,1FMCU0F71FUA60257,BS,Fac #8,#4,#4,57.0,2015,2015.0,2015.0
CS #4,NULL,Burgundy,NULL,camp saf,camp saf,none,back row,grounds,"$10,563.00 ",751,5/17/2023,FORD,Ford ,Ford ,100819.0,ESCAPE,Escape,Escape,NULL,Average,Yes,F-7 R-6,Y,NULL,NULL,1FMCU0F71FUA60257,BS/Custodial/Emily,Fac #9,#4,#4,57.0,2015,2015.0,2015.0
