Vehicle  #,Dept,Year,Make,Model,VIN,Mileage,Last Service ,Service?,,
1,Building Ser,2006,Chevy,2500 Express,1GCGG25U861242605,82175,5/17/2023,yes,,
2,Building Ser,2009,Chevy ,2500 Express,1GCGG25C591136690,178401,2/28/2024,Yes,,
3,Building Ser,2011,Ford,Econoline,1FTNE2EW2BDB09118,108802,10/25/2023,Yes,,
4,Building Ser,2016,Ford,Transit,1FTYR1ZM3GKA47834,25619,4/25/2023,Yes,,
5,Building Ser,2011,Chevy,Express Cargo,1GCWGFBAXB1150225,87034,4/25/2023,Yes,,
6,Building Ser,2016,Chevy,1500 LS,1GCNCPEH0FZ312554,21390,11/8/2023,Yes,,
7,Building Ser,2018,Ford ,Transit 250 Cargo,1FTYR1ZM1JKA59312,18863,4/4/2023,Yes,,
8,Building Ser,2013,Ford,Transit Connect,NM0LS7BNXDT157450,25464,10/25/2023,Yes,,
9,Building Ser,2014,Chevy ,Express Van,1GCWGFCG8E1129333,46823,4/26/2023,Yes,,
10,Building Ser,2014,Ford,E-250,1FTNE2EW1EDA31614,19019,11/7/2023,Yes,,
11,Building Ser,2002,Chevy,Astro,1GCDM19X62B122770,149797,6/14/2023,Yes,,
12,Building Ser,2008,Chevy,Express Box,1GBHG31C781160041,86398,1/31/2023,Yes,,
13,Building Ser,2003,Ford,E250 Econoline,1FTNE24L03HB89987,7894,11/8/2023,Yes,,
14,Camp Saf,2013,Ford,Transit Connect,NM0KS9BN4DT126640,86709,4/4/2023,Yes,,
15,C-DINING,2019,Ford,Econoline Box,1FDWE4F68KDC06513,1903,2/1/2023,Yes,,
45,Building Ser,2014,Dodge,Grand Caravan,2C4RDGBG2ER406096,59527,11/7/2023,Yes,,
17,#N/A,#N/A,#N/A,#N/A,#N/A,30329,3/15/2023,Yes,,
18,#N/A,#N/A,#N/A,#N/A,#N/A,0,,Yes,,
19,Facilities,0,Ford,Econoline Box,1FDWE35L52HB44451,60534,6/13/2023,Yes,,
20,#N/A,#N/A,#N/A,#N/A,#N/A,0,6/14/2023,Yes,,
21,Facilities,2003,Chevy,Truck,1GCCS19X438147215,97297,11/8/2023,Yes,,
22,Field House,2010,Chevy,Express 12 Pass,1GA2GYDG5A1137501,84696,7/25/2023,Yes,,
23,Field House,2008,Chevy,Express 12 Pass,1GAGG25K981114271,81911,7/26/2023,Yes,,
24,Grounds ,2016,Chevy,2500 W/T,1GC0KUEG1GZ122766,26570,11/14/2023,Yes,,
25,Grounds ,2010,GMC,Sierra 2500 SLE,1GT3KZBG8AF151169,102911,6/14/2023,Yes,,
26,Grounds ,2008,Chevy,Silverado,1GCEK14028Z183571,60160,1/24/2023,Yes,,
27,Grounds ,2004,Chevy,2500 HD,1GCHC29U04E213020,125343,2/1/2023,Yes,,
28,Grounds ,2015,Chevy,2500,1GC0KUEG4FZ506586,113800,6/14/2023,Yes,,
29,Grounds ,2020,Chevy,Silverado 3500,1GC3YSE72LF286037,9194,6/14/2023,Yes,,
30,Grounds ,1988,Ford,f-600 Dump,1FDNF60H6JVA30777,44484,6/14/2023,Yes,,
31,Grounds ,1988,Ford,F-800,1FDXK84A6JVA00269,261513,6/14/2023,Yes,,
32,Building Ser,2005,Chevy,E150 Econoline,1FTRE14W85HA43457,81064,11/1/2023,Yes,,
33,Grounds ,2007,Chevy,Silverado,1GCHC24U57E102488,59510,6/14/2023,Yes,,
34,Grounds ,2007,Chevy,Silverado,1GBJC34U87E181831,29970,4/26/2023,Yes,,
36,Grounds ,2015,Chevy,Silverado 2500 W/T,1GC2KUEG6FZ540666,58240,6/14/2023,Yes,,
37,Grounds ,2013,Chevy,Silverado,1GCNKPE07DZ400057,41811,6/14/2023,Yes,,
38,Mail,2016,Ford,Transit Connect,NM0GE9F76E1142148,37777,2/20/2024,Yes,,
39,C-DINING,2014,Ford,Transit Connect,NM0LS6E77E1139895,22377,2/28/2024,Yes,,
40,Prison,2013,Honda,Civic ,2HGFB2F59DH574392,101852,11/7/2023,Yes,,
41,SLC,2008,Chevy,Impala,2G1WT58K681215217,131220,2/28/2024,Yes,,
42,SLC,2013,Chevy,Express 12 Pass,1GAWGPFG6D1121076,57374,2/20/2024,Yes,,
43,Mail,2014,Chevy,Express,1GCSGAF4731111652,40681,1/31/2023,Yes,,
44,C-DINING,2011,Ford ,Econoline,1FTNE1EW8BDA20664,14005,2/1/2023,Yes,,
46,Biology,2000,Chevy,GMT-40,1GCHK33J2YF457274,172594,2/7/2023,Yes,,
47,Biology,2019,Chevy,0,1GC4KVCGXKF146066,0,,Yes,,
48,Bunker,2007,Chevy,0,1GCHK24U97E197687,78810,3/8/2023,Yes,,
#1,Camp Saf,2014,Ford,Escape,1FMCU0F73EUD08328,131897,5/17/2023,Yes,,
#2,Camp Saf,2014,Ford,Escape,2FMDK3GC9EBA99738,129884,4/25/2023,Yes,,
#3,Camp Saf,2015,Ford,Escape,1FMCU0F77FUC24224,84773,5/17/2023,Yes,,
#4,Camp Saf,2015,Ford ,Escape,1FMCU0F71FUA60257,100819,5/17/2023,Yes,,
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,Yes,,
